Country,Clicks,Impressions,CTR,Position
Yemen,1,20,5%,14.2
Argentina,0,1163,0%,19.52
Slovakia,0,612,0%,25.49
Peru,0,587,0%,16.02
Algeria,0,494,0%,21.57
Venezuela,0,347,0%,19.5
Iraq,0,295,0%,15.84
Tunisia,0,280,0%,13.93
Kazakhstan,0,189,0%,20.25
Monaco,0,184,0%,62.53
Nepal,0,153,0%,13.41
Ethiopia,0,149,0%,18.31
Paraguay,0,145,0%,16.03
Costa Rica,0,134,0%,13.53
Croatia,0,130,0%,16.52
Azerbaijan,0,126,0%,15.67
Estonia,0,126,0%,18.81
Georgia,0,124,0%,16.72
Guatemala,0,122,0%,20.75
Bolivia,0,111,0%,21.71
Papua New Guinea,0,110,0%,2.34
Jersey,0,110,0%,8.23
Uzbekistan,0,110,0%,16.6
Puerto Rico,0,102,0%,10.94
Moldova,0,96,0%,15.36
Cambodia,0,96,0%,18.95
Bosnia & Herzegovina,0,95,0%,18.87
Iceland,0,88,0%,11.75
Lebanon,0,84,0%,10.8
Slovenia,0,78,0%,13.78
Liechtenstein,0,72,0%,75.99
Syria,0,71,0%,14.76
Cuba,0,65,0%,10.94
Guyana,0,63,0%,12.05
Tanzania,0,63,0%,12.75
Myanmar (Burma),0,63,0%,16.71
El Salvador,0,63,0%,20.62
Honduras,0,63,0%,22.84
Namibia,0,61,0%,6.82
Andorra,0,60,0%,28.32
Côte d’Ivoire,0,56,0%,19.68
Congo - Kinshasa,0,55,0%,14.89
Mozambique,0,53,0%,10.06
Unknown Region,0,53,0%,32.64
Senegal,0,51,0%,17.69
Cameroon,0,48,0%,7.58
Macedonia,0,48,0%,15.19
Rwanda,0,45,0%,14.84
Angola,0,45,0%,17.36
Fiji,0,44,0%,10
Seychelles,0,43,0%,7.51
Belize,0,43,0%,10.79
Armenia,0,37,0%,14.68
Malawi,0,32,0%,7.53
Guadeloupe,0,32,0%,28.84
Libya,0,31,0%,18.84
Afghanistan,0,28,0%,5.71
Swaziland,0,27,0%,6.04
Kosovo,0,26,0%,14.5
Kyrgyzstan,0,26,0%,19.42
Montenegro,0,23,0%,10.57
Curaçao,0,23,0%,11.61
Laos,0,22,0%,15.41
Anguilla,0,21,0%,6.67
US Virgin Islands,0,20,0%,4.6
Somalia,0,20,0%,7.15
Burkina Faso,0,20,0%,22
Sint Maarten,0,19,0%,5.68
Grenada,0,19,0%,6.74
Togo,0,19,0%,23
Norfolk Island,0,19,0%,53.11
Brunei,0,18,0%,3.44
Sierra Leone,0,18,0%,6.06
Liberia,0,18,0%,13.94
Congo - Brazzaville,0,18,0%,26.94
St. Kitts & Nevis,0,17,0%,8.82
Suriname,0,17,0%,13.71
Montserrat,0,16,0%,5.38
Guinea,0,14,0%,10.86
Sudan,0,13,0%,24.69
Dominica,0,12,0%,19.58
Gabon,0,12,0%,21.42
Cape Verde,0,11,0%,15
Madagascar,0,11,0%,20.64
Gambia,0,10,0%,3.8
Tajikistan,0,9,0%,12.56
Macau,0,9,0%,14
Martinique,0,8,0%,16
Mali,0,8,0%,33
Haiti,0,7,0%,6.43
Turkmenistan,0,7,0%,7.57
Greenland,0,7,0%,14.14
Falkland Islands,0,6,0%,6
Western Sahara,0,6,0%,19.33
Equatorial Guinea,0,5,0%,8.4
Mauritania,0,5,0%,15.2
French Polynesia,0,5,0%,35.4
South Sudan,0,4,0%,3.25
Caribbean Netherlands,0,4,0%,4.75
Chad,0,4,0%,5.5
Guam,0,4,0%,6.75
Bhutan,0,4,0%,11.5
Solomon Islands,0,4,0%,13
Benin,0,4,0%,17
St. Martin,0,4,0%,17.25
Niger,0,3,0%,3.33
St. Helena,0,3,0%,3.67
Burundi,0,3,0%,5
New Caledonia,0,3,0%,11.33
Djibouti,0,2,0%,7
American Samoa,0,2,0%,7.5
Central African Republic,0,2,0%,9.5
Vanuatu,0,2,0%,10
Timor-Leste,0,2,0%,66
Samoa,0,1,0%,1
Marshall Islands,0,1,0%,2
Northern Mariana Islands,0,1,0%,2
Mayotte,0,1,0%,3
Cook Islands,0,1,0%,5
St. Barthélemy,0,1,0%,7
Faroe Islands,0,1,0%,7
Palau,0,1,0%,8
French Guiana,0,1,0%,9
St. Pierre & Miquelon,0,1,0%,9
Comoros,0,1,0%,16
Guinea-Bissau,0,1,0%,17
Réunion,0,1,0%,86
