Country,Clicks,Impressions,CTR,Position
United Kingdom,3516,1030229,0.34%,26.31
United States,108,104399,0.1%,15.75
India,106,7223,1.47%,18.54
France,42,4151,1.01%,24.01
Canada,30,7291,0.41%,25.95
Spain,29,7072,0.41%,36.46
Switzerland,28,1453,1.93%,21.9
Australia,27,3570,0.76%,23.72
Germany,24,4843,0.5%,21.07
South Africa,24,2653,0.9%,16.78
Pakistan,24,1540,1.56%,15.37
United Arab Emirates,23,2266,1.02%,24.78
Netherlands,18,2962,0.61%,21.88
Italy,18,2373,0.76%,18.23
Singapore,17,843,2.02%,11.98
Portugal,16,967,1.65%,21.55
Poland,15,1119,1.34%,18.62
Ireland,14,1369,1.02%,20.01
New Zealand,12,750,1.6%,21.06
Vietnam,11,2240,0.49%,21.33
Zimbabwe,11,691,1.59%,5.43
Sweden,10,879,1.14%,14.87
Romania,10,805,1.24%,18.74
Israel,10,667,1.5%,21.79
Norway,10,475,2.11%,16.82
Bangladesh,9,934,0.96%,16.1
Oman,7,1424,0.49%,16.55
Turkey,7,1329,0.53%,17.36
Thailand,7,1188,0.59%,23.02
Bermuda,7,507,1.38%,7.3
Indonesia,6,2104,0.29%,18.99
Belgium,6,774,0.78%,23.43
Morocco,6,638,0.94%,17.23
Greece,6,332,1.81%,15.87
Luxembourg,6,105,5.71%,15.45
Philippines,5,2240,0.22%,17.11
Mexico,5,1532,0.33%,17.29
Nigeria,5,1055,0.47%,10.63
Saudi Arabia,5,1008,0.5%,18.56
Malaysia,5,1006,0.5%,12.67
Hong Kong,5,556,0.9%,20.16
Denmark,5,438,1.14%,18.27
Brazil,4,4646,0.09%,18.23
Colombia,4,1296,0.31%,14.22
Czechia,4,614,0.65%,33.25
Austria,4,484,0.83%,16.51
Qatar,4,320,1.25%,9.77
Malta,4,254,1.57%,10.67
Isle of Man,4,110,3.64%,7.36
Russia,3,1270,0.24%,21.48
Japan,3,941,0.32%,17.36
Kenya,3,468,0.64%,12.28
Jamaica,3,308,0.97%,11.37
Sri Lanka,3,295,1.02%,10.4
Bulgaria,3,291,1.03%,21.04
British Virgin Islands,3,267,1.12%,15.13
Cyprus,3,252,1.19%,27.79
Zambia,3,159,1.89%,8.19
Barbados,3,122,2.46%,7.41
Aruba,3,94,3.19%,7.54
Guernsey,3,68,4.41%,9.18
Cayman Islands,2,2217,0.09%,9.63
South Korea,2,1006,0.2%,17.88
Egypt,2,747,0.27%,20.52
Hungary,2,550,0.36%,29.31
Taiwan,2,284,0.7%,16.88
Finland,2,263,0.76%,11.82
Kuwait,2,241,0.83%,11
Lithuania,2,190,1.05%,16.54
Mauritius,2,154,1.3%,9
Latvia,2,135,1.48%,16.95
Chile,1,905,0.11%,13.76
Ukraine,1,504,0.2%,17.94
Trinidad & Tobago,1,445,0.22%,15.04
Ecuador,1,438,0.23%,17.22
China,1,398,0.25%,11.55
Jordan,1,353,0.28%,10.72
Uruguay,1,274,0.36%,12.66
Dominican Republic,1,253,0.4%,16.11
Serbia,1,222,0.45%,14.39
Albania,1,214,0.47%,9.69
Panama,1,203,0.49%,10.33
Ghana,1,197,0.51%,11.4
Belarus,1,178,0.56%,17.86
Botswana,1,171,0.58%,7.32
Bahrain,1,166,0.6%,8.42
Iran,1,166,0.6%,11.31
St. Lucia,1,153,0.65%,5.13
Bahamas,1,152,0.66%,8.05
Antigua & Barbuda,1,129,0.78%,5.6
Uganda,1,125,0.8%,11.95
Turks & Caicos Islands,1,81,1.23%,7.63
Palestine,1,71,1.41%,18.06
Gibraltar,1,66,1.52%,8.02
Nicaragua,1,36,2.78%,13.36
Mongolia,1,36,2.78%,17.22
St. Vincent & Grenadines,1,34,2.94%,5.44
Maldives,1,26,3.85%,11.27
Lesotho,1,21,4.76%,7.76
