# ----------------------------------------
# Reports snapshot
# Account: abels.co.uk
# Property: http://abels.co.uk
# ----------------------------------------
#  
# Start date: 20250101
# End date: 20251231
Nth week,Active users
0000,739
0001,1384
0002,1288
0003,1565
0004,1492
0005,1735
0006,2004
0007,1316
0008,1070
0009,1152
0010,750
0011,799
0012,760
0013,611
0014,951
0015,1219
0016,1576
0017,1072
0018,936
0019,830
0020,773
0021,755
0022,847
0023,805
0024,943
0025,859
0026,940
0027,832
0028,650
0029,820
0030,953
0031,999
0032,813
0033,986
0034,872
0035,793
0036,849
0037,751
0038,803
0039,1022
0040,945
0041,754
0042,748
0043,1400
0044,828
0045,746
0046,728
0047,761
0048,690
0049,1475
0050,985
0051,487
0052,431

# Start date: 20250101
# End date: 20251231
Nth week,New users
0000,720
0001,1339
0002,1233
0003,1506
0004,1445
0005,1672
0006,1922
0007,1238
0008,1007
0009,1099
0010,709
0011,749
0012,699
0013,556
0014,919
0015,1177
0016,1492
0017,1000
0018,880
0019,765
0020,711
0021,695
0022,788
0023,692
0024,837
0025,777
0026,816
0027,733
0028,563
0029,734
0030,863
0031,912
0032,733
0033,905
0034,774
0035,718
0036,746
0037,670
0038,711
0039,946
0040,845
0041,668
0042,680
0043,1339
0044,790
0045,694
0046,690
0047,724
0048,654
0049,1428
0050,946
0051,469
0052,417

# Start date: 20250101
# End date: 20251231
Nth week,Average engagement time per active user
0000,41.71177266576455
0001,38.74205202312139
0002,41.39829192546584
0003,47.81405750798722
0004,51.702412868632706
0005,43.279538904899134
0006,39.87175648702595
0007,34.58586626139817
0008,35.9
0009,35.55555555555556
0010,58.550666666666665
0011,50.60075093867334
0012,53.49342105263158
0013,52.310965630114566
0014,102.21871713985279
0015,49.94257588187038
0016,34.69670050761421
0017,54.40018656716418
0018,58.202991452991455
0019,43.61566265060241
0020,40.60802069857697
0021,43.75364238410596
0022,41.57733175914994
0023,61.68198757763975
0024,62.24814422057264
0025,40.834691501746214
0026,47.20957446808511
0027,47.62139423076923
0028,55.058461538461536
0029,48.21219512195122
0030,44.24134312696747
0031,35.947947947947945
0032,41.539975399754
0033,40.68458417849899
0034,44.11582568807339
0035,84.11349306431273
0036,34.59363957597173
0037,42.28362183754993
0038,42.031133250311335
0039,26.409980430528375
0040,30.344973544973545
0041,35.59946949602122
0042,45.20187165775401
0043,28.643571428571427
0044,49.320048309178745
0045,48.65817694369973
0046,54.99038461538461
0047,38.370565045992116
0048,48.731884057971016
0049,25.97966101694915
0050,35.143147208121825
0051,46.936344969199176
0052,42.8399071925754

# Start date: 20250101
# End date: 20251231
Nth week,Total revenue
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0

# Where do your new users come from?
# Start date: 20250101
# End date: 20251231
First user primary channel group (Default channel group),New users
Paid Search,13882
Cross-network,11942
Organic Search,9429
Direct,9155
Unassigned,1393
Referral,1031
Organic Social,529
Email,412
Display,9
Paid Other,8
Organic Video,5

#  
# Start date: 20250101
# End date: 20251231
Session primary channel group (Default channel group),Sessions
Paid Search,15996
Organic Search,15548
Cross-network,13286
Direct,11668
Referral,1942
Unassigned,1726
Organic Social,617
Email,437
Display,9
Paid Other,8
Organic Video,5

#  
# Start date: 20250101
# End date: 20251231
Country ID,Active users
AD,1
AE,206
AF,1
AG,7
AL,15
AM,101
AO,1
AR,19
AS,1
AT,63
AU,112
AZ,1
BA,2
BB,4
BD,71
BE,36
BF,1
BG,9
BH,2
BI,1
BJ,3
BM,5
BN,3
BO,8
BR,57
BS,7
BW,8
BY,2
CA,126
CD,82
CF,2
CG,9
CH,163
CI,92
CK,1
CL,6
CM,1
CN,1563
CO,12
CR,4
CY,10
CZ,10
DE,544
DK,24
DO,3
DZ,13
EC,6
EE,6
EG,29
EH,1
ES,1161
ET,8
FI,54
FJ,13
FR,630
GA,3
GB,34974
GD,2
GE,5
GG,10
GH,73
GI,5
GM,124
GN,27
GP,1
GQ,1
GR,31
GT,5
GY,6
HK,50
HN,1
HR,4
HT,10
HU,13
ID,35
IE,626
IL,18
IM,9
IN,863
