# ----------------------------------------
# http://abels.co.uk
# Untitled exploration-CW Report Dashboard Data
# 20260101-20260604
# ----------------------------------------

Date,Active users,Engaged sessions per active user,Average engagement time per session,Sessions,Returning users,Total users,New users,Session key event rate
,12633,0.7950605556874851,44.15117453902501,15836,1273,12650,12404,0.040729982318767365,Grand total
20260119,222,0.7657657657657657,55.35271317829457,258,22,228,208,0.023255813953488372
20260204,211,0.8151658767772512,48.88702928870293,239,24,215,196,0.012552301255230125
20260126,195,0.717948717948718,40.19230769230769,208,18,199,183,0.03365384615384615
20260105,181,0.7900552486187845,51.56476683937824,193,15,184,169,0.025906735751295335
20260115,177,0.5706214689265536,29.366336633663366,202,29,178,162,0.0049504950495049506
20260122,174,0.6264367816091954,33.050251256281406,199,25,177,163,0.020100502512562814
20260112,172,0.7441860465116279,47.95897435897436,195,16,179,161,0.041025641025641026
20260312,158,0.8417721518987342,64.19662921348315,178,18,162,145,0.07303370786516854
20260430,157,1.0318471337579618,23.028735632183906,174,17,159,144,0.017241379310344827
20260402,156,0.717948717948718,33.05747126436781,174,21,160,144,0.05747126436781609
20260114,155,0.5290322580645161,44.40860215053763,186,23,159,142,0.021505376344086023
20260218,153,0.6274509803921569,42.977653631284916,179,26,156,137,0.16759776536312848
20260327,150,0.7666666666666667,45.78125,160,14,152,140,0.00625
20260212,144,0.8541666666666666,62.48795180722892,166,15,149,130,0.024096385542168676
20260121,141,0.5319148936170213,48.84146341463415,164,25,145,123,0.024390243902439025
20260220,139,0.7769784172661871,39.27564102564103,156,15,143,126,0.04487179487179487
20260320,136,0.8235294117647058,62.486111111111114,144,12,140,127,0.013888888888888888
20260601,135,1.0296296296296297,33.85616438356164,146,18,137,124,0.0410958904109589
20260424,133,0.6766917293233082,36.753246753246756,154,17,135,127,0.01948051948051948
20260209,132,0.6515151515151515,45.39041095890411,146,22,135,113,0.02054794520547945
20260202,130,0.6153846153846154,25.258064516129032,155,19,135,116,0.05161290322580645
20260203,126,0.6031746031746031,42.3921568627451,153,22,134,116,0.0392156862745098
20260205,124,0.7338709677419355,44.64705882352941,153,25,129,109,0.026143790849673203
20260304,124,0.4274193548387097,40.50340136054422,147,24,126,114,0.006802721088435374
20260506,123,1.065040650406504,37.85034013605442,147,22,125,114,0.02040816326530612
20260120,122,0.6639344262295082,64.50675675675676,148,22,125,110,0.02702702702702703
20260211,120,0.5916666666666667,46.94244604316547,139,23,121,104,0.03597122302158273
20260113,117,0.5726495726495726,47.09285714285714,140,22,122,100,0.02857142857142857
20260108,115,0.6347826086956522,44.753846153846155,130,18,117,102,0.046153846153846156
20260107,114,0.5263157894736842,36.35036496350365,137,14,121,107,0.043795620437956206
20260127,113,0.504424778761062,47.79338842975206,121,11,116,103,0.024793388429752067
20260206,109,0.5963302752293578,30.546875,128,18,115,98,0.015625
20260216,109,0.8165137614678899,46.696969696969695,132,19,111,96,0.3106060606060606
20260526,109,1.0275229357798166,49.603305785123965,121,18,110,97,0.049586776859504134
20260602,108,1.037037037037037,44.53333333333333,120,17,109,96,0.041666666666666664
20260116,106,0.6509433962264151,41.142857142857146,126,21,109,95,0.015873015873015872
20260505,105,1.0666666666666667,34.488188976377955,127,20,108,95,0.047244094488188976
20260528,104,1.1153846153846154,67.82170542635659,129,19,107,92,0.05426356589147287
20260603,104,0.019230769230769232,44.57627118644068,118,8,105,91,0.03389830508474576
20260410,103,0.49514563106796117,42.97457627118644,118,11,107,97,0.03389830508474576
20260429,103,1.0388349514563107,33.10769230769231,130,21,108,93,0.007692307692307693
20260223,102,0.6862745098039216,69.51351351351352,111,26,102,82,0.02702702702702703
20260123,101,0.594059405940594,43.52212389380531,113,17,103,93,0.035398230088495575
20260130,101,0.49504950495049505,49.15929203539823,113,9,102,92,0.017699115044247787
20260513,101,1.099009900990099,67.33884297520662,121,16,102,93,0.049586776859504134
20260305,100,0.55,52.41269841269841,126,20,102,85,0.03968253968253968
20260520,100,1.1,31.262295081967213,122,18,102,87,0.01639344262295082
20260527,100,1.02,49.9,110,19,101,88,0.03636363636363636
20260129,99,0.6868686868686869,61.4954954954955,111,12,103,87,0.018018018018018018
20260514,99,1.0606060606060606,60.25,116,15,100,94,0.05172413793103448
20260109,98,0.6428571428571429,47.86065573770492,122,21,103,85,0.02459016393442623
20260128,98,0.7551020408163265,75.31818181818181,132,24,99,86,0.07575757575757576
20260303,98,0.5408163265306123,31.058333333333334,120,21,102,84,0.008333333333333333
20260512,98,1.0714285714285714,48.78813559322034,118,17,99,89,0.01694915254237288
20260217,97,0.9484536082474226,32.53508771929825,114,10,102,88,0.45614035087719296
20260310,96,0.6666666666666666,53.278260869565216,115,19,100,88,0.034782608695652174
20260507,96,1,49.527272727272724,110,16,97,88,0.05454545454545454
20260210,95,0.6947368421052632,42.943396226415096,106,17,98,84,0.009433962264150943
20260316,95,0.6421052631578947,52.96261682242991,107,16,98,83,0.04672897196261682
20260508,95,1.0736842105263158,58.663636363636364,110,18,95,83,0.02727272727272727
20260518,95,1.0736842105263158,29.607142857142858,112,14,100,86,0.026785714285714284
20260219,94,0.6170212765957447,42.86666666666667,105,9,100,86,0.0380952380952381
20260227,94,0.7553191489361702,52.02479338842975,121,23,96,78,0.024793388429752067
20260302,93,0.6881720430107527,65.45370370370371,108,21,97,79,0.018518518518518517
20260324,93,0.5913978494623656,43.464285714285715,112,23,97,78,0.026785714285714284
20260522,93,1.086021505376344,39.43636363636364,110,17,93,80,0.05454545454545454
20260125,92,0.4673913043478261,19.635416666666668,96,6,93,89,0.020833333333333332
20260413,92,0.5978260869565217,46.17,100,9,97,84,0.07
20260515,92,1.065217391304348,44.92660550458716,109,22,94,75,0.009174311926605505
20260519,92,1.0217391304347827,76.25961538461539,104,14,94,83,0.0673076923076923
20260414,91,0.6373626373626373,49.07339449541284,109,15,96,82,0.045871559633027525
20260427,91,0.8901098901098901,45.330357142857146,112,21,96,77,0.05357142857142857
20260224,90,0.7666666666666667,106.24786324786325,117,24,92,72,0.03418803418803419
20260323,90,0.7111111111111111,62.76470588235294,102,17,90,82,0.049019607843137254
20260421,90,0.5555555555555556,46.16504854368932,103,18,91,80,0.04854368932038835
20260326,88,0.7045454545454546,64.25961538461539,104,17,94,74,0.038461538461538464
20260521,88,1.0681818181818181,55.39393939393939,99,16,88,78,0.050505050505050504
20260106,87,0.6896551724137931,32.8,100,17,89,76,0.04
20260317,87,0.6436781609195402,41.94285714285714,105,14,89,79,0.047619047619047616
20260228,86,0.7325581395348837,46.47126436781609,87,2,87,84,0
20260511,86,1.058139534883721,29.575757575757574,99,14,89,77,0.050505050505050504
20260102,85,0.5176470588235295,31.303370786516854,89,10,87,77,0.056179775280898875
20260313,84,0.5952380952380952,35.386138613861384,101,12,88,75,0.0297029702970297
20260319,83,0.6144578313253012,40.41509433962264,106,22,90,67,0.03773584905660377
20260225,82,0.5609756097560976,43.15533980582524,103,17,91,71,0.019417475728155338
20260409,81,0.6172839506172839,50.5,92,12,85,75,0.043478260869565216
20260423,81,0.5925925925925926,39,91,11,85,76,0.054945054945054944
20260525,81,1.0617283950617284,28.733333333333334,90,12,83,74,0.03333333333333333
20260331,80,0.4875,32.13333333333333,90,10,84,72,0.022222222222222223
20260417,80,0.6375,47.826530612244895,98,17,85,70,0.07142857142857142
20260420,79,0.6962025316455697,75.55555555555556,90,12,81,73,0.044444444444444446
20260101,77,0.4155844155844156,26.506172839506174,81,4,78,76,0.037037037037037035
20260415,77,0.6883116883116883,84.8913043478261,92,17,82,69,0.07608695652173914
20260208,76,0.4342105263157895,36.5,86,5,82,74,0.05813953488372093
20260325,76,0.7236842105263158,64.78350515463917,97,19,80,63,0.09278350515463918
20260401,75,0.6666666666666666,39.98863636363637,88,12,79,69,0.045454545454545456
