Country,Clicks,Impressions,CTR,Position
Grenada,0,322,0%,38.72
St. Kitts & Nevis,0,291,0%,37.56
Congo - Kinshasa,0,277,0%,32.79
Suriname,0,275,0%,38.68
Curaçao,0,274,0%,41.45
Brunei,0,260,0%,36.07
Namibia,0,238,0%,22.73
Montenegro,0,238,0%,33.82
Congo - Brazzaville,0,234,0%,37.93
Rwanda,0,230,0%,31.54
Togo,0,218,0%,41.57
Kosovo,0,182,0%,33.96
Liechtenstein,0,152,0%,75.2
Sint Maarten,0,146,0%,39.77
Mali,0,137,0%,42.36
Macau,0,135,0%,39.07
Tajikistan,0,124,0%,34.76
Dominica,0,119,0%,37.13
Caribbean Netherlands,0,112,0%,49.37
Anguilla,0,108,0%,22.29
Afghanistan,0,93,0%,23.41
Gambia,0,90,0%,26.24
Réunion,0,87,0%,49.02
US Virgin Islands,0,66,0%,12.65
Haiti,0,62,0%,36.44
Montserrat,0,54,0%,16.65
Mauritania,0,52,0%,39.25
Bhutan,0,51,0%,25.96
Martinique,0,51,0%,34.9
Guinea,0,45,0%,29.76
Guam,0,42,0%,35
Turkmenistan,0,42,0%,38.5
Sudan,0,40,0%,26.8
Liberia,0,37,0%,22.08
South Sudan,0,31,0%,9.45
Falkland Islands,0,30,0%,6.93
French Polynesia,0,27,0%,25.44
Burundi,0,27,0%,28.48
French Guiana,0,24,0%,41.58
New Caledonia,0,21,0%,32.29
St. Martin,0,20,0%,34.8
Faroe Islands,0,20,0%,40.9
Norfolk Island,0,20,0%,53.45
Samoa,0,16,0%,17
Chad,0,16,0%,31.75
Greenland,0,15,0%,22.73
Solomon Islands,0,14,0%,16.07
St. Helena,0,14,0%,31.21
Tonga,0,13,0%,8
Equatorial Guinea,0,12,0%,27.83
San Marino,0,11,0%,43.82
Timor-Leste,0,10,0%,30.7
São Tomé & Príncipe,0,10,0%,32.9
Åland Islands,0,10,0%,34.9
Micronesia,0,10,0%,39.2
American Samoa,0,9,0%,14.56
Mayotte,0,9,0%,33.22
Djibouti,0,9,0%,35.11
Comoros,0,4,0%,27
Nauru,0,4,0%,27.75
Guinea-Bissau,0,4,0%,44
Palau,0,3,0%,10
Marshall Islands,0,2,0%,1.5
Northern Mariana Islands,0,2,0%,1.5
Tuvalu,0,2,0%,5.5
Svalbard & Jan Mayen,0,2,0%,6.5
St. Barthélemy,0,2,0%,8.5
Central African Republic,0,2,0%,9.5
St. Pierre & Miquelon,0,2,0%,10
Eritrea,0,1,0%,1
British Indian Ocean Territory,0,1,0%,9
